time,event,entry
34,1,33
28,1,27
12,1,11
38,1,37
18,1,17
32,1,31
44,1,43
49,1,48
27,1,26
47,1,46
44,1,43
70,1,69
40,1,38
37,1,35
26,1,24
26,1,24
40,1,38
33,1,31
49,1,47
25,1,23
43,1,41
18,1,16
38,1,36
16,1,14
32,1,30
24,1,22
20,1,18
28,1,26
39,1,37
45,1,43
37,1,35
34,1,32
47,1,45
72,1,69
39,1,36
39,1,36
34,1,31
37,1,34
31,1,28
55,1,52
33,1,30
53,1,50
34,1,31
32,1,29
28,1,25
38,1,35
29,1,26
52,1,49
45,1,42
32,1,29
35,1,32
36,1,33
47,1,44
39,1,35
37,1,33
30,1,26
23,1,19
58,1,54
41,1,37
25,1,21
30,1,26
41,1,37
44,1,40
53,1,49
42,1,38
36,1,32
34,1,30
39,1,35
47,1,43
34,1,30
43,1,38
32,1,27
44,1,39
29,1,24
34,1,29
41,1,36
36,1,31
24,1,19
71,1,66
33,1,28
48,1,43
39,1,34
24,1,19
42,1,37
55,1,50
45,1,40
42,1,37
33,1,28
43,1,38
41,1,36
28,1,23
44,1,38
39,1,33
15,1,9
43,1,37
48,1,42
46,1,40
44,1,38
21,1,15
37,1,31
51,1,45
38,1,32
29,1,23
43,1,37
42,1,36
34,1,28
41,1,34
56,1,49
31,1,24
34,1,27
28,1,21
57,1,50
39,1,32
36,1,29
32,1,25
44,1,37
44,1,37
50,1,43
43,1,36
22,1,15
37,1,30
57,1,49
45,1,37
39,1,31
39,1,31
43,1,35
50,1,42
43,1,35
43,1,35
46,1,38
45,1,37
36,1,28
34,1,26
36,1,28
49,1,41
17,1,9
35,1,27
41,1,33
38,1,30
20,1,12
44,1,36
35,1,27
41,1,33
51,1,43
67,1,58
43,1,34
47,1,38
48,1,39
34,1,25
44,1,35
32,1,23
46,1,37
30,1,21
26,1,17
41,1,32
46,1,37
41,1,32
55,1,46
75,1,66
40,1,31
47,1,38
32,1,23
45,1,36
32,1,23
39,1,30
47,1,38
48,1,39
35,1,26
41,1,32
41,1,32
58,1,49
33,1,24
45,1,36
56,1,47
43,1,34
49,1,40
37,1,28
56,1,47
36,1,27
42,1,33
52,1,43
47,1,38
37,1,28
32,1,23
53,1,43
59,1,49
40,1,30
50,1,40
42,1,32
50,1,40
38,1,28
43,1,33
44,1,34
46,1,36
48,1,38
47,1,37
37,1,27
53,1,43
40,1,30
33,1,23
45,1,35
63,1,53
48,1,38
48,1,38
56,0,45
56,0,45
21,0,10
21,0,10
21,0,10
40,0,29
40,0,29
40,0,29
54,0,43
54,0,43
20,0,9
20,0,9
20,0,9
21,0,10
21,0,10
21,0,10
27,0,16
27,0,16
27,0,16
21,0,10
21,0,10
21,0,10
27,0,16
27,0,16
27,0,16
27,0,16
27,0,16
27,0,16
38,0,27
38,0,27
38,0,27
38,0,27
38,0,27
38,0,27
41,0,30
41,0,30
41,0,30
39,0,28
39,0,28
39,0,28
36,0,25
36,0,25
36,0,25
36,0,25
36,0,25
36,0,25
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
39,0,28
39,0,28
39,0,28
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
40,0,29
52,0,41
52,0,41
52,0,41
52,0,41
52,0,41
19,0,8
51,0,40
21,0,10
21,0,10
21,0,10
21,0,10
21,0,10
21,0,10
29,0,18
29,0,18
29,0,18
33,0,22
33,0,22
33,0,22
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
37,0,26
30,0,19
30,0,19
30,0,19
42,0,31
42,0,31
42,0,31
32,0,21
32,0,21
32,0,21
6,0,0
34,0,23
34,0,23
34,0,23
34,0,23
34,0,23
33,0,22
33,0,22
33,0,22
20,0,9
20,0,9
20,0,9
41,0,30
41,0,30
41,0,30
41,0,30
41,0,30
41,0,30
41,0,30
41,0,30
41,0,30
20,0,9
20,0,9
20,0,9
1,0,0
51,0,40
51,0,40
49,0,38
49,0,38
20,0,9
49,0,38
49,0,38
20,0,9
20,0,9
20,0,9
42,0,31
8,0,0
42,0,31
20,0,9
42,0,31
42,0,31
42,0,31
41,0,30
41,0,30
41,0,30
