L,U,T
122,131.0,15
19,inf,13
135,140.0,18
131,inf,109
159,164.0,14
143,149.0,15
159,165.0,4
141,155.0,16
139,145.0,13
104,109.0,15
157,164.0,18
158,163.0,100
176,182.0,14
170,177.0,17
70,inf,64
100,116.0,74
115,125.0,37
141,146.0,13
170,177.0,1
51,inf,25
173,179.0,15
152,158.0,1
122,128.0,26
169,169.0,15
141,147.0,13
27,inf,27
169,178.0,27
146,152.0,14
169,178.0,14
174,178.0,13
175,181.0,15
157,164.0,25
129,134.0,13
85,91.0,2
127,138.0,1
158,170.0,13
152,167.0,13
181,187.0,62
139,145.0,13
181,190.0,2
96,inf,18
133,142.0,18
121,132.0,18
135,142.0,13
135,142.0,13
109,115.0,49
121,127.0,13
177,183.0,15
155,159.0,14
145,163.0,14
176,182.0,14
176,181.0,14
91,100.0,1
164,169.0,14
119,123.0,15
169,176.0,15
174,181.0,17
82,inf,25
164,169.0,14
156,160.0,17
164,170.0,13
146,155.0,17
180,186.0,22
130,137.0,3
166,170.0,16
109,119.0,13
118,121.0,13
188,inf,17
121,127.0,25
15,inf,15
187,inf,15
146,154.0,4
147,153.0,13
141,149.0,18
145,151.0,15
109,115.0,16
136,142.0,14
135,144.0,13
174,182.0,15
153,158.0,44
122,130.0,15
190,inf,15
170,176.0,19
178,183.0,13
124,131.0,13
187,inf,15
151,158.0,26
154,158.0,14
134,140.0,13
158,166.0,18
114,121.0,61
166,174.0,14
147,152.0,18
186,inf,24
145,152.0,24
139,147.0,2
133,142.0,1
181,186.0,15
159,164.0,13
140,145.0,13
174,181.0,13
186,inf,13
163,169.0,14
141,144.0,15
155,162.0,16
160,166.0,30
169,176.0,14
163,169.0,13
160,166.0,13
175,182.0,139
137,144.0,14
150,160.0,38
121,127.0,15
189,inf,15
127,135.0,13
132,137.0,17
183,187.0,13
156,162.0,13
158,164.0,13
128,134.0,13
166,170.0,148
175,182.0,14
145,157.0,14
163,166.0,14
147,155.0,13
159,165.0,13
154,162.0,1
128,135.0,1
143,145.0,1
163,169.0,13
150,157.0,13
32,inf,19
139,145.0,14
157,163.0,20
118,124.0,16
155,157.0,13
107,114.0,4
126,130.0,66
159,166.0,14
154,159.0,14
157,163.0,16
91,97.0,13
151,158.0,13
159,164.0,3
155,159.0,17
147,152.0,14
139,143.0,14
43,inf,25
127,135.0,49
152,158.0,15
162,176.0,13
139,142.0,14
143,150.0,41
157,163.0,17
153,160.0,17
147,154.0,13
171,179.0,13
146,152.0,19
151,156.0,13
154,160.0,2
145,152.0,14
91,98.0,1
172,179.0,1
151,154.0,1
139,145.0,13
148,157.0,14
