time,event,entry,pHCl,pH2SO4,HNO3
70.00,0.00,40.00,0.49,1.69,0.24
30.00,0.00,0.00,0.76,1.79,0.39
45.00,0.00,15.00,0.43,1.61,0.25
78.00,0.00,48.00,0.50,1.80,0.28
106.00,0.00,76.00,0.34,1.55,0.26
19.70,0.00,0.00,0.38,1.74,0.35
5.90,0.00,0.00,0.60,1.74,0.24
97.00,0.00,67.00,0.57,1.53,0.19
73.00,0.00,43.00,0.45,1.75,0.28
30.00,0.00,0.00,0.78,1.78,0.42
30.00,0.00,0.00,0.50,1.60,0.27
30.00,0.00,0.00,0.61,1.55,0.21
50.00,1.00,47.00,0.85,1.57,0.21
85.00,0.00,55.00,0.39,1.55,0.28
59.50,1.00,37.00,0.95,1.75,0.21
46.00,0.00,16.00,0.55,1.82,0.28
98.00,0.00,68.00,0.36,1.63,0.29
21.60,1.00,0.00,0.80,1.78,0.46
63.90,1.00,39.00,1.06,1.78,0.29
101.00,0.00,71.00,0.34,1.49,0.27
49.00,0.00,19.00,0.35,1.60,0.26
43.00,0.00,13.00,0.54,1.53,0.17
79.00,0.00,49.00,0.64,1.51,0.19
61.00,0.00,31.00,0.47,1.65,0.24
69.00,0.00,39.00,0.58,1.58,0.26
71.00,0.00,41.00,0.36,1.59,0.26
30.00,0.00,0.00,0.33,1.48,0.27
49.00,0.00,19.00,0.77,1.76,0.25
53.00,0.00,23.00,0.48,1.55,0.27
66.00,0.00,36.00,0.44,1.75,0.36
30.00,0.00,0.00,0.79,1.56,0.16
14.90,0.00,0.00,0.59,1.58,0.22
55.00,0.00,25.00,0.36,1.66,0.32
16.20,0.00,0.00,0.64,1.49,0.16
72.00,0.00,42.00,0.37,1.66,0.28
43.00,0.00,13.00,0.47,1.67,0.25
106.00,0.00,76.00,0.33,1.56,0.26
20.10,1.00,0.00,0.82,1.56,0.17
81.00,1.00,51.00,0.32,1.63,0.30
63.00,0.00,33.00,0.51,1.70,0.24
47.00,0.00,17.00,0.33,1.54,0.28
41.00,0.00,11.00,0.48,1.61,0.26
30.00,0.00,0.00,0.32,1.47,0.27
72.00,0.00,42.00,0.36,1.61,0.25
56.00,0.00,26.00,0.56,1.73,0.32
44.00,0.00,14.00,0.53,1.64,0.22
79.60,1.00,61.00,0.39,1.69,0.28
56.00,1.00,26.00,0.78,1.58,0.15
30.00,0.00,0.00,0.58,1.63,0.25
15.50,0.00,0.00,0.35,1.60,0.27
53.00,0.00,23.00,0.68,1.56,0.22
30.00,0.00,0.00,0.87,1.68,0.19
44.00,0.00,14.00,0.48,1.70,0.24
36.50,1.00,14.00,0.64,1.89,0.25
25.20,1.00,17.00,0.78,1.57,0.16
18.60,0.00,0.00,1.01,1.77,0.24
18.90,0.00,0.00,0.34,1.63,0.28
0.90,0.00,0.00,0.39,1.61,0.25
45.00,0.00,15.00,0.69,1.59,0.25
17.50,0.00,0.00,0.63,1.55,0.21
68.00,0.00,38.00,0.45,1.64,0.25
44.00,0.00,14.00,0.52,1.61,0.21
78.00,0.00,48.00,0.50,1.70,0.26
50.00,0.00,20.00,0.40,1.58,0.27
48.00,0.00,18.00,0.54,1.53,0.17
37.00,0.00,7.00,0.78,1.68,0.33
44.00,0.00,14.00,0.40,1.63,0.25
20.50,0.00,0.00,0.37,1.80,0.36
21.70,0.00,0.00,0.47,1.55,0.27
67.00,0.00,37.00,0.62,1.74,0.32
39.20,1.00,21.00,0.85,1.57,0.18
23.50,0.00,0.00,0.56,1.62,0.25
53.00,0.00,23.00,0.30,1.54,0.29
70.00,0.00,40.00,0.38,1.58,0.24
14.50,1.00,0.00,0.96,1.74,0.24
17.90,1.00,0.00,0.69,1.53,0.20
57.40,1.00,44.00,0.36,1.65,0.31
53.00,0.00,23.00,0.39,1.56,0.24
44.00,0.00,14.00,0.41,1.86,0.40
25.00,0.00,0.00,0.45,1.62,0.25
48.00,1.00,20.00,0.68,1.74,0.41
54.00,0.00,24.00,0.54,1.56,0.18
69.00,0.00,39.00,0.57,1.68,0.23
3.50,0.00,0.00,0.62,1.74,0.24
66.00,0.00,36.00,0.44,1.76,0.36
17.90,0.00,0.00,0.37,1.64,0.28
44.00,0.00,14.00,0.60,1.77,0.24
67.00,0.00,37.00,0.59,1.74,0.31
1.90,0.00,0.00,0.81,1.55,0.18
96.00,0.00,66.00,0.53,1.64,0.22
74.00,0.00,44.00,0.36,1.62,0.29
45.00,0.00,15.00,0.41,1.67,0.26
22.20,0.00,0.00,0.51,1.83,0.29
12.00,0.00,0.00,0.40,1.85,0.41
6.60,1.00,0.00,0.78,1.78,0.42
56.00,0.00,26.00,0.55,1.67,0.32
50.00,0.00,20.00,0.82,1.79,0.47
87.00,0.00,57.00,0.42,1.67,0.25
51.00,0.00,21.00,0.67,1.53,0.16
70.00,1.00,41.00,0.40,1.61,0.26
41.00,0.00,11.00,0.53,1.65,0.26
92.80,1.00,67.00,0.59,1.70,0.27
30.00,0.00,0.00,0.94,1.63,0.18
50.30,1.00,39.00,0.54,1.54,0.18
42.00,0.00,12.00,0.35,1.62,0.26
90.00,0.00,60.00,0.58,1.70,0.27
86.00,0.00,56.00,0.44,1.71,0.26
65.00,0.00,35.00,0.34,1.60,0.30
29.30,0.00,0.00,0.82,1.60,0.16
32.20,1.00,4.00,0.60,1.68,0.23
52.00,0.00,22.00,0.51,1.64,0.27
74.00,0.00,44.00,0.33,1.60,0.28
72.00,0.00,42.00,0.57,1.79,0.37
48.00,0.00,18.00,0.55,1.52,0.17
90.00,0.00,60.00,0.61,1.75,0.33
76.80,1.00,62.00,0.81,1.55,0.17
50.00,0.00,20.00,0.57,1.60,0.22
78.00,0.00,48.00,0.51,1.72,0.27
69.00,0.00,39.00,0.32,1.75,0.28
106.00,0.00,76.00,0.47,1.65,0.27
82.00,0.00,52.00,0.51,1.61,0.28
54.70,1.00,31.00,0.35,1.60,0.25
30.00,0.00,0.00,0.96,1.74,0.24
78.20,1.00,69.00,0.57,1.51,0.17
75.60,1.00,68.00,0.34,1.62,0.30
20.10,1.00,0.00,0.79,1.56,0.16
89.80,1.00,76.00,0.46,1.63,0.26
30.00,0.00,0.00,0.82,1.62,0.18
57.60,1.00,35.00,0.54,1.66,0.31
42.00,0.00,12.00,0.34,1.62,0.26
78.60,1.00,66.00,0.47,1.63,0.23
30.00,0.00,0.00,0.74,1.79,0.39
88.00,0.00,58.00,0.64,1.69,0.23
91.00,0.00,61.00,0.35,1.69,0.32
47.00,0.00,17.00,0.81,1.58,0.17
30.00,0.00,0.00,0.73,1.67,0.36
68.00,0.00,38.00,0.45,1.63,0.25
52.00,0.00,22.00,0.51,1.65,0.28
92.00,0.00,62.00,0.63,1.69,0.24
79.00,0.00,49.00,0.47,1.67,0.25
30.80,1.00,17.00,0.58,1.68,0.23
52.00,0.00,22.00,0.37,1.64,0.27
18.10,0.00,0.00,0.33,1.59,0.27
22.30,0.00,0.00,0.50,1.62,0.26
79.00,0.00,49.00,0.45,1.65,0.26
71.00,0.00,41.00,0.61,1.49,0.15
47.00,0.00,17.00,0.40,1.57,0.28
34.00,0.00,4.00,0.60,1.51,0.16
51.00,0.00,21.00,0.43,1.73,0.27
62.00,0.00,32.00,0.47,1.65,0.27
90.00,0.00,60.00,0.41,1.59,0.24
30.00,0.00,0.00,0.39,1.57,0.24
11.60,0.00,0.00,0.32,1.63,0.30
52.60,1.00,39.00,1.06,1.78,0.28
73.00,0.00,43.00,0.44,1.73,0.27
65.00,0.00,35.00,0.35,1.65,0.31
65.00,0.00,35.00,0.35,1.66,0.32
31.80,1.00,18.00,0.64,1.49,0.16
44.90,1.00,17.00,0.81,1.58,0.17
13.30,0.00,0.00,0.46,1.68,0.30
92.00,0.00,62.00,0.38,1.67,0.29
40.00,0.00,10.00,0.73,1.80,0.44
61.00,0.00,31.00,0.43,1.73,0.26
48.00,0.00,18.00,0.68,1.69,0.23
9.10,0.00,0.00,0.52,1.65,0.23
98.00,0.00,68.00,0.37,1.64,0.28
49.00,0.00,19.00,0.49,1.89,0.44
101.00,0.00,71.00,0.35,1.51,0.26
34.00,0.00,4.00,0.61,1.60,0.25
46.90,1.00,32.00,0.47,1.56,0.25
49.00,0.00,19.00,0.70,1.52,0.19
50.00,0.00,20.00,0.48,1.65,0.23
30.00,0.00,0.00,0.59,1.63,0.24
60.90,1.00,56.00,0.56,1.71,0.24
